TABLEID,SCHEMANAME,TABLE DESCRIPTION,TABLE NAME,COLUMNNAME,DATATYPE,PRIMARYKEY,FOREIGNKEY,DESCRIPTION
134,ATHENAONE,Vital Sign,VITALSIGN,DELETEDBY,VARCHAR(16777216),,,The user that deleted the entry
134,ATHENAONE,Vital Sign,VITALSIGN,TYPE,VARCHAR(16777216),Primary Key,,Can be CLASSIC or STREAMLINED.
134,ATHENAONE,Vital Sign,VITALSIGN,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
135,ATHENAONE,Custom Department Fields,CUSTOMDEPARTMENTFIELDS,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
135,ATHENAONE,Custom Department Fields,CUSTOMDEPARTMENTFIELDS,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
135,ATHENAONE,Custom Department Fields,CUSTOMDEPARTMENTFIELDS,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
135,ATHENAONE,Custom Department Fields,CUSTOMDEPARTMENTFIELDS,DEPARTMENTRECORDNUMBERID,"NUMBER(12,0)",Primary Key,,The athena-assigned ID for the custom department fields; the primary key for this table. Custom department fields can be created by the practice to store department-related data. 
135,ATHENAONE,Custom Department Fields,CUSTOMDEPARTMENTFIELDS,DEPARTMENTID,"NUMBER(12,0)",,DEPARTMENT.DEPARTMENTID,The athena-assigned ID for the department
135,ATHENAONE,Custom Department Fields,CUSTOMDEPARTMENTFIELDS,CUSTOMFIELDNAME,VARCHAR(16777216),,,The name for the custom department field.
135,ATHENAONE,Custom Department Fields,CUSTOMDEPARTMENTFIELDS,CUSTOMFIELDTYPE,VARCHAR(16777216),,,"The type of the custom department field. It may be TEXT, NUMBER, DATE."
135,ATHENAONE,Custom Department Fields,CUSTOMDEPARTMENTFIELDS,CUSTOMFIELDVALUE,VARCHAR(16777216),,,Stored value associated with the custom field.
135,ATHENAONE,Custom Department Fields,CUSTOMDEPARTMENTFIELDS,DEPARTMENTNAME,VARCHAR(16777216),,,The name of the department (for internal reference only)
135,ATHENAONE,Custom Department Fields,CUSTOMDEPARTMENTFIELDS,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, that the entry was created."
135,ATHENAONE,Custom Department Fields,CUSTOMDEPARTMENTFIELDS,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
135,ATHENAONE,Custom Department Fields,CUSTOMDEPARTMENTFIELDS,DELETEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, that the entry was deleted."
135,ATHENAONE,Custom Department Fields,CUSTOMDEPARTMENTFIELDS,DELETEDBY,VARCHAR(16777216),,,The username who deleted the entry.
135,ATHENAONE,Custom Department Fields,CUSTOMDEPARTMENTFIELDS,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,CLAIMRECORDNUMBERID,"NUMBER(12,0)",Primary Key,,The unique ID of each entry in this table
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,CLAIMID,"NUMBER(12,0)",,CLAIM.CLAIMID,The ID for the claim associated with the claim record number
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,CUSTOMFIELDNUMBER,VARCHAR(16777216),,,The claim record number for the associated claim and claim record category.  This is the value that is entered in athenaNet.
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,CUSTOMFIELDCATEGORYID,"NUMBER(12,0)",,,The ID associated with the claim record number category.  The claim record number category identifies the type of claim record number.
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,DELETEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, that the entry was deleted."
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,DELETEDBY,VARCHAR(16777216),,,The username who deleted the entry.
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, that the entry was created."
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,LASTMODIFIED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,LASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,CUSTOMFIELDCATEGORYNAME,VARCHAR(16777216),,,The name associated with the claim record number category.  The claim record number category identifies the type of claim record number.
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,RECORDNUMBERSELECTID,"NUMBER(12,0)",,,
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,CUSTOMFIELDTYPE,VARCHAR(16777216),,,
136,ATHENAONE,Custom Claim Fields,CUSTOMCLAIMFIELDS,CUSTOMFIELDVALUE,VARCHAR(16777216),,,
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,GROUPID,"NUMBER(12,0)",Primary Key,,This is used to combine several rows into one mapping
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,PROCEDURECODE,VARCHAR(16777216),Primary Key,,The procedure code tied to a custom RVU value.
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,EFFECTIVEDATE,VARCHAR(16777216),,,The date we begin using the custom RVU values associated with a particular procedure code. This applies to any transactions with a service date on or after the effective date.
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,EXPIRATIONDATE,VARCHAR(16777216),,,The date we stop using the custom RVU values associated with a particular procedure code. This applies to any transactions with a service date on or before the expiration date.
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,WORKRVU,VARCHAR(16777216),,,The base custom work RVU value that is utilized in determining the custom work RVU value on the report.
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,PERVU,VARCHAR(16777216),,,The base custom malpractice expense RVU value that is utilized in determining the custom malpractice RVU value on the report.
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,MALPRACTICERVU,VARCHAR(16777216),,,The base custom practice expense RVU value that is utilized in determining the custom practice expense RVU value on the report when the CMS place of service type for the service department associated with the charge is considered a non-facility.
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,FACILITYRVU,VARCHAR(16777216),,,The base custom facility RVU value that is utilized in determining the custom facility RVU value on the report when the CMS place of service type for the service department associated with the charge is considered a facility.
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, that the entry was created."
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,DELETEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, that the entry was deleted."
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,DELETEDBY,VARCHAR(16777216),,,The username who deleted the entry.
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,REPORTMAPKEYDELETEDDATETIME,TIMESTAMP_NTZ(9),,,
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,REPORTMAPKEYDELETEDBY,VARCHAR(16777216),,,
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
137,ATHENAONE,Custom RVU Procedure Values,CUSTOMRVUPROCEDUREVALUES,SOURCECONTEXTID,"NUMBER(12,0)",,,
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,GROUPID,"NUMBER(12,0)",Primary Key,,This is used to combine several rows into one mapping
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,MODIFIER,VARCHAR(16777216),Primary Key,,The modifier you wish to define an adjustment value for.
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,EFFECTIVEDATE,VARCHAR(16777216),,,The date we begin using the adjustment associated with a particular modifier. This applies to any transactions with a service date on or after the effective date.
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,EXPIRATIONDATE,VARCHAR(16777216),,,The date we stop using the adjustment associated with a particular modifier. This applies to any transactions with a service date on or before the expiration date.
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,ADJUSTMENT,VARCHAR(16777216),,,The adjustment rate that either the CMS standard RVU values or the custom RVU values from the Custom RVU Procedure Values Report Mapping are multiplied by in order to calculate custom RVU amounts.
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, that the entry was created."
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,DELETEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, that the entry was deleted."
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,DELETEDBY,VARCHAR(16777216),,,The username who deleted the entry.
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,SOURCECONTEXTID,"NUMBER(12,0)",,,
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,REPORTMAPKEYDELETEDDATETIME,TIMESTAMP_NTZ(9),,,
138,ATHENAONE,Custom RVU Modifier Adjustments,CUSTOMRVUMODIFIERADJUSTMENTS,REPORTMAPKEYDELETEDBY,VARCHAR(16777216),,,
139,ATHENAONE,Appointment Audit,APPOINTMENTAUDIT,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
139,ATHENAONE,Appointment Audit,APPOINTMENTAUDIT,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
139,ATHENAONE,Appointment Audit,APPOINTMENTAUDIT,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
139,ATHENAONE,Appointment Audit,APPOINTMENTAUDIT,ENTITYID,"NUMBER(12,0)",Primary Key,,
139,ATHENAONE,Appointment Audit,APPOINTMENTAUDIT,SOURCEID,"NUMBER(12,0)",,,The source appointment ID for the audit record
139,ATHENAONE,Appointment Audit,APPOINTMENTAUDIT,OPERATION,VARCHAR(16777216),Primary Key,,The operation performed on the record
139,ATHENAONE,Appointment Audit,APPOINTMENTAUDIT,FIELDNAME,VARCHAR(16777216),,,The field that was modified on the source record
139,ATHENAONE,Appointment Audit,APPOINTMENTAUDIT,OLDVALUE,VARCHAR(16777216),,,The field's old value
139,ATHENAONE,Appointment Audit,APPOINTMENTAUDIT,NEWVALUE,VARCHAR(16777216),,,The field's new value
139,ATHENAONE,Appointment Audit,APPOINTMENTAUDIT,EVENTDATETIME,TIMESTAMP_NTZ(9),,,The date the change was made
139,ATHENAONE,Appointment Audit,APPOINTMENTAUDIT,USERNAME,VARCHAR(16777216),,,The username that made the change
139,ATHENAONE,Appointment Audit,APPOINTMENTAUDIT,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
140,ATHENAONE,Charge Note,CHARGENOTE,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
140,ATHENAONE,Charge Note,CHARGENOTE,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
140,ATHENAONE,Charge Note,CHARGENOTE,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
140,ATHENAONE,Charge Note,CHARGENOTE,CHARGENOTEID,"NUMBER(12,0)",Primary Key,,The unique ID of each entry in this table
140,ATHENAONE,Charge Note,CHARGENOTE,CHARGEID,"NUMBER(12,0)",,TRANSACTION.TRANSACTIONID,The charge ID of the charge that was modified
140,ATHENAONE,Charge Note,CHARGENOTE,NOTE,VARCHAR(16777216),,,"The note associated with the change, if provided"
140,ATHENAONE,Charge Note,CHARGENOTE,CLAIMRULEID,"NUMBER(12,0)",,CLAIMRULE.CLAIMRULEID,RULEID associated with the error could be local or global depending on localclaimruleyn
140,ATHENAONE,Charge Note,CHARGENOTE,FIELDNAME,VARCHAR(16777216),,,The field that was modified on the source record
140,ATHENAONE,Charge Note,CHARGENOTE,OLDVALUE,VARCHAR(16777216),,,The field's old value
140,ATHENAONE,Charge Note,CHARGENOTE,NEWVALUE,VARCHAR(16777216),,,The field's new value
140,ATHENAONE,Charge Note,CHARGENOTE,LOCALCLAIMRULEYN,VARCHAR(16777216),,,Indicates whether the change was due to a local claim rule
140,ATHENAONE,Charge Note,CHARGENOTE,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, that the entry was created."
140,ATHENAONE,Charge Note,CHARGENOTE,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
140,ATHENAONE,Charge Note,CHARGENOTE,LASTMODIFIEDDATETIME,TIMESTAMP_NTZ(9),,,The date the record was last modified
140,ATHENAONE,Charge Note,CHARGENOTE,LASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
140,ATHENAONE,Charge Note,CHARGENOTE,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,DENIALCLAIMNOTEID,"NUMBER(12,0)",Primary Key,,The unique ID of each entry in this table
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,CREATEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, that the entry was created."
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,CREATEDBY,VARCHAR(16777216),,,The username who created the entry.
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,LASTMODIFIEDDATETIME,TIMESTAMP_NTZ(9),,,The date the record was last modified
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,LASTMODIFIEDBY,VARCHAR(16777216),,,Indicates the user made the latest update to the row.
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,DAYDATETIME,TIMESTAMP_NTZ(9),,,The date and time of the denial
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,CLAIMID,"NUMBER(12,0)",,CLAIM.CLAIMID,The claim ID associated with the denial
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,PAYMENTBATCHID,"NUMBER(12,0)",,PAYMENTBATCH.PAYMENTBATCHID,The payment batch ID associated with the denial
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,PROVIDERID,"NUMBER(12,0)",,PROVIDER.PROVIDERID,The ID of the claim's rendering provider as of the denial date
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,SUPERVISINGPROVIDERID,"NUMBER(12,0)",,,The ID of the claim's supervising provider as of the denial date
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,INSURANCEPACKAGEID,"NUMBER(12,0)",,INSURANCEPACKAGE.INSURANCEPACKAGEID,The insurance package the denial is associated with
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,DEPARTMENTID,"NUMBER(12,0)",,DEPARTMENT.DEPARTMENTID,The athena-assigned ID for the department
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,TRANSFERTYPE,VARCHAR(16777216),,,Indicates whether the denial is for the primary or secondary payer on the claim
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,DEFAULTKICKREASONID,"NUMBER(12,0)",,KICKREASON.KICKREASONID,This is the kickreasonid for those kicks that have been determined to be associated with an actual denial.: foreign key to KICKREASON.ID
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,REJECTIONREASONID,"NUMBER(38,0)",,,This is the rejectionreasonid for those kicks that have been determined to be associated with an actual denial.: foreign key to REJECTIONREASON.ID
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,CLAIMRULEID,"NUMBER(12,0)",,CLAIMRULE.CLAIMRULEID,This is the claimrule associated with a scrub.: foreign key to CLAIMRULE.ID
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,LOCALCLAIMRULEID,"NUMBER(12,0)",,,This is the claimrule associated with a scrub.: foreign key to LOCALCLAIMRULE.ID
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,CLAIMNOTEID,"NUMBER(12,0)",,CLAIMNOTE.CLAIMNOTEID,This is the claimnoteid.: foreign key to CLAIMNOTE.ID
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,DENIALSTATUSENTRY,"NUMBER(3,0)",,,"This is the denial status entry indicator: 1 for has entered denial status, 0 for no change in denial status."
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,TRANSACTIONPOSTED,"NUMBER(3,0)",,,Indicator for whether the event is associated with a posting transaction.
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,SCRUBACTION,"NUMBER(3,0)",,,Indicator for scrub action.
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,FRONTENDACTION,"NUMBER(3,0)",,,Indicator for frontend denial action.
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,BACKENDACTION,"NUMBER(3,0)",,,Indicator for backend denial action.
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,NETWORKCLAIMRULEID,"NUMBER(12,0)",,,This is the network claimrule associated with a scrub.: foreign key to NETWORKCLAIMRULE.ID
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,DENIALTYPEID,"NUMBER(12,0)",,,Indicator of the type of denial.: foreign key to DENIALTYPE.ID
141,ATHENAONE,Denial Claim Note,DENIALCLAIMNOTE,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,ELIGIBILITYTRACKID,"NUMBER(12,0)",Primary Key,,Field indicates track was spawned because the parent track suggested a different valid eligibility class.
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,ORIGINALID,"NUMBER(12,0)",,ELIGIBILITYTRACK.ELIGIBILITYTRACKID,"The id of the original transaction. If originalid = id, then the transaction represented by this row is the original attempt. If originalid <> id, then this row represents a subsequent attempt to transmit the original transaction."
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,STATE,VARCHAR(16777216),,,-'C' if next hop has not yet acknowledged or replied to request -'A' if next hop has acknowledged request -'F' if next hop has replied to request (with non-msg 7.2) or asynchronous request has timed out after 5 minutes
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,ATTEMPTSREMAINING,"NUMBER(38,0)",,,Number of re-transmission attempts remaining for this transaction.
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,ELIGIBILITYCLASS,VARCHAR(16777216),,,foreign key to ELIGIBILITYCLASS.ID
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,RECEIVERNAME,VARCHAR(16777216),,,"A copy of eligibilityclass.receivername at the time the transaction went out, since eligibilityclass.receivername may change after the transaction went out. This simplifies reporting."
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,PATIENTINSURANCEID,"NUMBER(12,0)",,,This field is set when the eligibility is being checked for a patientinsurance. In this case eligibilitytrack.patientid is null.
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,ALTPATIENTINSURANCEID,"NUMBER(12,0)",,,This field is set when the eligibility is being checked for a altpatientinsurance.
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,DOCUMENTINSURANCEID,"NUMBER(12,0)",,,This field is only set when the check is for a particular Coordinator Requisition
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,PATIENTID,"NUMBER(12,0)",,PATIENT.PATIENTID,The ID for the patient
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,ALTPATIENTID,"NUMBER(12,0)",,,This field is set when the eligibility is being checked for a alternate set of patient demographics.
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,INFORMATIONTYPE,VARCHAR(16777216),,,Type of eligibility information being requested/returned. Currently either MEDICAL or PHARMACY.
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,PROVIDERID,"NUMBER(12,0)",,PROVIDER.PROVIDERID,The ID of the providing the encounter services.
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,REFERENCEKEY,VARCHAR(16777216),,,A string unique to each transaction
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,TRANSACTIONYN,VARCHAR(16777216),,,"Will equal 'Y' if a transaction was actually sent to the payor, and 'N' otherwise (this helps track transaction billing)"
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,INQUIRYREASON,VARCHAR(16777216),,,"Reason the check was done (on-demand, nightly sweep, ...)"
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,OUTGOINGTRANSACTION,VARCHAR(16777216),,,The text of an outgoing transaction
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,OUTGOINGTRANSACTIONDATEDATETIME,TIMESTAMP_NTZ(9),,,The Date the outgoing transaction was sent
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,INCOMINGTRANSACTION,VARCHAR(16777216),,,The text of an incoming transaction
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,INCOMINGTRANSACTIONDATEDATETIME,TIMESTAMP_NTZ(9),,,The date an incoming transaction arrived
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,ACKNOWLEDGEMENT,VARCHAR(16777216),,,The text of an incoming asynchronous acknowledgement
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,ACKNOWLEDGEMENTDATEDATETIME,TIMESTAMP_NTZ(9),,,The date an asynchronous acknowledgement arrived
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,MESSAGERESULT,VARCHAR(16777216),,,The summarized result of the transaction (eg: '1')
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,SYNCHRONOUSYN,VARCHAR(16777216),,,
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,VERIFICATIONNOTE,VARCHAR(16777216),,,
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,ELIGIBILITYWARNING,VARCHAR(16777216),,,A class-specific warning that is displayed to the user in the quickview as well as the eligibility detail page.
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,DEBUG,VARCHAR(16777216),,,Debugging text
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,FULLOUTGOINGDATA,VARCHAR(16777216),,,"For storing the complete data that gets sent to a payor/clearinghouse. This is similar to the OUTGOINGTRANSACTION, but also includes any wrapping protocols. Use sparingly!"
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,FULLINCOMINGDATA,VARCHAR(16777216),,,"For storing the complete data that gets received from a payor/clearinghouse. This is similar to the INCOMINGTRANSACTION, but also includes any wrapping protocols. Use sparingly!"
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,ELAPSEDTIME,"NUMBER(12,3)",,,
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,TESTYN,VARCHAR(16777216),,,Was this transaction a test? (or did the results get saved out to the DB?)
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,USERNAME,VARCHAR(16777216),,,
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,DEPARTMENTID,"NUMBER(12,0)",,DEPARTMENT.DEPARTMENTID,The athena-assigned ID for the department
142,ATHENAONE,Eligibility Track,ELIGIBILITYTRACK,APPOINTMENTID,"NUMBER(12,0)",,APPOINTMENT.APPOINTMENTID,The ID of the appointment
